run_id,run_dir,phase,market,interval,codebook_size,min_volume,volume_filter,split_family,split_index,split_seed,train_symbols,val_symbols,test_symbols,train_candles,val_candles,test_candles,shape_val_train_l1,shape_test_train_l1,shape_val_train_max_diff,shape_test_train_max_diff,shape_train_entropy,shape_val_entropy,shape_test_entropy,shape_train_mean_sc,shape_val_mean_sc,shape_test_mean_sc,range_val_train_l1,range_test_train_l1,range_val_train_max_diff,range_test_train_max_diff,range_train_entropy,range_val_entropy,range_test_entropy,pair_val_train_l1,pair_test_train_l1,pair_val_train_max_diff,pair_test_train_max_diff,pair_train_entropy,pair_val_entropy,pair_test_entropy,kmeans_shape_val_train_l1,kmeans_shape_test_train_l1,kmeans_pair_val_train_l1,kmeans_pair_test_train_l1,kmeans_inertia_per_sample,kmeans_shape_mean_sc_train,kmeans_shape_mean_sc_val,kmeans_shape_mean_sc_test,notes
shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_00,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_00,1B,NASDAQ,1m,12,2,volume >= 2,random,0,0,"[""NFLX"", ""RKLB"", ""AAPL"", ""QCOM"", ""NVDA"", ""QQQ"", ""AVGO"", ""TSLA"", ""META"", ""MRVL"", ""SOXX"", ""GOOGL""]","[""AMD"", ""INTC""]","[""AMZN"", ""MSFT"", ""MU"", ""PLTR""]",143035,23996,47954,0.22651158992002446,0.12389746055313237,0.03075908242196458,0.02055188479316017,3.474228,3.416721,3.447436,0.196269,0.197038,0.198343,0.6974162360393399,0.17060448826584382,0.1830572570755011,0.08048963590107187,2.484186,2.230428,2.442931,0.7001913650177641,0.21183402507395,0.028727919562781444,0.02055188479316017,5.884628,5.609328,5.846592,0.22153323954150828,0.1280369993243385,0.6987752820667091,0.21440726223282466,0.04777823582296291,0.19217406113735083,0.19338622461990518,0.19416096886213244,
shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_01,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_01,1B,NASDAQ,1m,12,2,volume >= 2,random,1,1,"[""AVGO"", ""META"", ""QCOM"", ""MRVL"", ""RKLB"", ""AAPL"", ""QQQ"", ""SOXX"", ""TSLA"", ""GOOGL"", ""NFLX"", ""MU""]","[""PLTR"", ""AMD""]","[""MSFT"", ""INTC"", ""NVDA"", ""AMZN""]",143034,23991,47960,0.19459689472146374,0.15337094186987835,0.03573712357831153,0.025154046904610983,3.458787,3.41361,3.421223,0.193003,0.195661,0.19458,0.41777892474181366,0.1880372861533368,0.14652301054021144,0.05194051419888468,2.484188,2.327364,2.409892,0.4456549783989654,0.22240876770371457,0.02558987868979189,0.02134505997005232,5.868343,5.700481,5.795424,0.19438694980645843,0.15373008707297095,0.4465898550344455,0.2239308423411183,0.047709509845561195,0.19213127053415513,0.19489118558824034,0.19370385890153208,
shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_02,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_02,1B,NASDAQ,1m,12,2,volume >= 2,random,2,2,"[""SOXX"", ""PLTR"", ""AMD"", ""MRVL"", ""GOOGL"", ""AAPL"", ""INTC"", ""TSLA"", ""RKLB"", ""AMZN"", ""AVGO"", ""NFLX""]","[""QQQ"", ""MU""]","[""META"", ""QCOM"", ""NVDA"", ""MSFT""]",143134,23981,47870,0.13632690674878697,0.04795467136725795,0.023471116162732092,0.007313297562559605,3.459791,3.387284,3.457548,0.196529,0.197123,0.196608,0.3832090461352594,0.16949514197866405,0.1803970466680051,0.05165243357704291,2.484188,2.351443,2.432443,0.44589293317883205,0.18945525134853936,0.030510488037928794,0.009326403975158392,5.874433,5.719984,5.84195,0.14528797004840258,0.048779619515594765,0.44338685804801126,0.19525745593446,0.04869114534937541,0.19325993342173156,0.19336063838598896,0.1936497655133822,
shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_03,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_03,1B,NASDAQ,1m,12,2,volume >= 2,random,3,3,"[""INTC"", ""TSLA"", ""GOOGL"", ""META"", ""QQQ"", ""QCOM"", ""NVDA"", ""PLTR"", ""AAPL"", ""MSFT"", ""MU"", ""AVGO""]","[""MRVL"", ""RKLB""]","[""SOXX"", ""NFLX"", ""AMZN"", ""AMD""]",143632,23907,47446,0.1290962851999476,0.13425357315153646,0.017608221204946824,0.027286529877289346,3.455628,3.455829,3.475931,0.19702,0.194175,0.195579,0.7352797683323573,0.07493977980635746,0.19634068309536257,0.016996841295692074,2.48419,2.311884,2.436978,0.7757857977651592,0.1906303573242868,0.026543176545682043,0.027286529877289346,5.89718,5.633462,5.790945,0.10821684477575252,0.11479716549157641,0.7639280306365586,0.18637959933118575,0.04859578754212153,0.20898579099999956,0.21182433011864787,0.21284133117345272,
shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_04,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_04,1B,NASDAQ,1m,12,2,volume >= 2,random,4,4,"[""PLTR"", ""QQQ"", ""META"", ""QCOM"", ""INTC"", ""SOXX"", ""AMZN"", ""MU"", ""AAPL"", ""AVGO"", ""MSFT"", ""NVDA""]","[""MRVL"", ""GOOGL""]","[""NFLX"", ""TSLA"", ""RKLB"", ""AMD""]",143232,23888,47865,0.08403032291892995,0.045419693184501,0.013536762188395404,0.010797006980227286,3.467547,3.463739,3.47502,0.195271,0.193089,0.196138,0.13565806538645944,0.2298937914708733,0.05072421579973746,0.06759010773780369,2.48419,2.529082,2.521058,0.1812924026002788,0.23113225181048463,0.008764327922620125,0.013257733049749785,5.892017,5.911624,5.926362,0.08029758847813476,0.04746490930143398,0.17844831024076013,0.231076909470027,0.04876854208774924,0.19443386007140284,0.19162035111302747,0.19497915221901804,
shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_05,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_05,1B,NASDAQ,1m,12,2,volume >= 2,random,5,5,"[""AMZN"", ""RKLB"", ""GOOGL"", ""META"", ""SOXX"", ""QCOM"", ""MRVL"", ""MSFT"", ""NVDA"", ""QQQ"", ""AVGO"", ""TSLA""]","[""PLTR"", ""AMD""]","[""MU"", ""AAPL"", ""NFLX"", ""INTC""]",143174,23991,47820,0.16778187206236117,0.06205271738651303,0.03183515591154597,0.009907704761028258,3.483832,3.451094,3.484051,0.195029,0.197009,0.196329,0.44812363187328824,0.17887354246441164,0.14631459768529928,0.05073260978500585,2.484188,2.337412,2.510699,0.4824019185019966,0.20056020430916766,0.023191386480818227,0.00794533016442888,5.904635,5.744838,5.915685,0.1650580686831323,0.0630749631361972,0.48034410958225304,0.20071114038197535,0.0481998739296241,0.19357442541276715,0.19603570565879516,0.19588608201121746,
shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_06,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_06,1B,NASDAQ,1m,12,2,volume >= 2,random,6,6,"[""AMZN"", ""MSFT"", ""NFLX"", ""TSLA"", ""PLTR"", ""MU"", ""GOOGL"", ""QCOM"", ""META"", ""AMD"", ""RKLB"", ""AVGO""]","[""MRVL"", ""SOXX""]","[""AAPL"", ""INTC"", ""QQQ"", ""NVDA""]",143525,23526,47934,0.25892679852269573,0.08638518530825207,0.050088548312419434,0.015889001764001598,3.449354,3.401853,3.410871,0.196025,0.191522,0.196594,0.18170841488615747,0.2832394542495932,0.06449035110090964,0.13969624900905409,2.484192,2.499789,2.349077,0.36986491450945114,0.3224471737241157,0.050088548312419434,0.021649548655441993,5.87775,5.704443,5.738016,0.23140146678174794,0.06670157328255169,0.36487653866055136,0.3045113940452887,0.04939835176798467,0.21165186791114085,0.2062094826093502,0.2068726668791805,
shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_07,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_07,1B,NASDAQ,1m,12,2,volume >= 2,random,7,7,"[""SOXX"", ""NVDA"", ""RKLB"", ""QCOM"", ""AMD"", ""GOOGL"", ""NFLX"", ""TSLA"", ""MU"", ""META"", ""QQQ"", ""INTC""]","[""MSFT"", ""AAPL""]","[""MRVL"", ""PLTR"", ""AMZN"", ""AVGO""]",143318,23950,47717,0.06303055054207239,0.07567300264391605,0.017461119280974102,0.015368273950666159,3.457776,3.447341,3.468065,0.198475,0.198872,0.197919,0.5316882319682633,0.1485033156290526,0.13808351843591404,0.055819376280316774,2.484186,2.052051,2.436508,0.5554204447933222,0.1909755403770373,0.019678037898174728,0.007831710528968529,5.882678,5.456431,5.818636,0.07169552060543295,0.08256836572195907,0.5552187554015464,0.192061049694004,0.04895841123955993,0.19492460290347804,0.19502830896616766,0.19409016526711173,
shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_08,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_08,1B,NASDAQ,1m,12,2,volume >= 2,random,8,8,"[""AMZN"", ""RKLB"", ""AVGO"", ""GOOGL"", ""QQQ"", ""META"", ""MRVL"", ""INTC"", ""MU"", ""SOXX"", ""MSFT"", ""AAPL""]","[""QCOM"", ""TSLA""]","[""NVDA"", ""PLTR"", ""NFLX"", ""AMD""]",143202,23923,47860,0.042783731817411255,0.10836945322307873,0.008020142156585697,0.021941848799897176,3.464212,3.470729,3.477961,0.198214,0.197343,0.20006,0.26917749349625625,0.17277062498333365,0.06816453766808489,0.0625825434167486,2.484195,2.507635,2.412874,0.27912803777806694,0.20393582762085705,0.015452988964679393,0.013899195274075158,5.887243,5.904681,5.824401,0.04200664111319246,0.10972773780091515,0.28041277957485233,0.20119170233628525,0.04834815328063679,0.19339745660629507,0.19435038406584063,0.19577348497603866,
shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_09,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vge2_random_09,1B,NASDAQ,1m,12,2,volume >= 2,random,9,9,"[""TSLA"", ""RKLB"", ""GOOGL"", ""QCOM"", ""PLTR"", ""AMZN"", ""MU"", ""MSFT"", ""AMD"", ""QQQ"", ""META"", ""AAPL""]","[""AVGO"", ""MRVL""]","[""NVDA"", ""INTC"", ""NFLX"", ""SOXX""]",143737,23760,47488,0.16846932888487953,0.08809993319541172,0.029892258855486832,0.0250539924311355,3.433302,3.419073,3.459844,0.197273,0.194315,0.197475,0.346040988183408,0.08320402869856629,0.08467700396222627,0.023475367012916498,2.484187,2.457222,2.450666,0.4291157538498167,0.1560086659167133,0.029892258855486832,0.0250539924311355,5.881367,5.716887,5.798391,0.15240821778665198,0.09155477100500284,0.417686340201072,0.1525820267782051,0.0484720499995217,0.2084905734276723,0.21149924033619624,0.21477573669159344,
